date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01,-2.3,-5,-1,0,,72,12.8,25.9,1011.3,
2024-01-02,-9,-12,-5,0,,42,18,25.9,1008.8,
2024-01-03,-11.5,-12.7,-10.6,1,,93,18.5,27.8,1005,
2024-01-04,-10.8,-11.2,-10.2,4.1,30,106,15.9,24.1,997.7,
2024-01-05,-9.2,-11,-5,2.3,,195,14,22.2,1003,
2024-01-06,-8.3,-14,-5,0,,303,13.1,18.5,1013.2,
2024-01-07,-17.9,-19,-16,0,,33,11.4,20.4,1024,
2024-01-08,-18.7,-22,-15,0,,1,11.6,18.5,1031,
2024-01-09,-8.3,-18,-4,0,,292,17.1,25.9,1028.5,
2024-01-10,-0.3,-4.7,0.6,0.5,61,294,19.5,25.9,1021.1,
2024-01-11,-2,-7,1.2,3,61,312,29.4,29.6,1009.4,
2024-01-12,-9.9,-14.9,-8.3,1,61,278,14.1,22.2,1015.5,
2024-01-13,-11.6,-15,-9,4.1,150,100,13.2,20.4,1010,
2024-01-14,-5.3,-13.5,0,4.1,140,181,18.2,22.2,995.4,
2024-01-15,-0.3,-1,0,2.8,170,213,19.2,27.8,987.9,
2024-01-16,-4.7,-9,-1,1,201,255,25.7,31.5,991.2,
2024-01-17,-11.6,-17,-8,0,,214,15.5,27.8,1010.2,
2024-01-18,-5.2,-10.6,-2.3,6.1,211,164,18.6,33.3,994.3,
2024-01-19,-5,-7,-4,0,,255,11.7,18.5,1004.8,
2024-01-20,-4.3,-5,-3,3.9,,202,14.3,20.4,1014.4,
2024-01-21,-5.1,-7,-3,1.6,,46,12.8,20.4,1028.1,
2024-01-22,-3.9,-6,-2,0,,185,28.2,38.9,1024.3,
2024-01-23,0.2,-1.7,1,2.3,221,203,19.7,35.2,1014.1,
2024-01-24,1.6,0,2,4.1,201,211,20.3,35.2,1008.6,
2024-01-25,1.9,0,3.3,6.1,170,260,14.6,24.1,997.1,
2024-01-26,0.3,0,1,1,150,343,20.7,24.1,1011.4,
2024-01-27,-1.2,-7,1,0,,355,5.6,9.3,1018.1,
2024-01-28,-4.5,-8,-1,0,,303,4.4,11.1,1031.6,
2024-01-29,0.1,-1.1,1.3,0,140,229,11.9,20.4,1036.6,
2024-01-30,-0.8,-2,1,0,,222,15.3,22.2,1032,
2024-01-31,-0.9,-3,2,0,,229,13.5,18.5,1024.4,
2024-02-01,1.8,0.9,2.2,0.3,109,245,16.8,27.8,1011.1,
2024-02-02,0.3,-2,2,0,,286,26.1,29.6,1010.3,
2024-02-03,2.9,-0.6,4.6,5.1,180,254,22.4,31.5,998.2,
2024-02-04,2.4,0,3.4,3.3,99,274,27.2,31.5,996.1,
2024-02-05,0.2,-1,1.1,8.9,79,292,19.8,27.8,991.1,
2024-02-06,-1.8,-3.8,0.5,0.3,150,273,11,20.4,998.4,
2024-02-07,0.6,-4,4,8.4,130,257,26.6,31.5,987.4,
2024-02-08,-4.4,-5,-1.6,0,119,266,13.4,16.7,1002.1,
2024-02-09,-2.8,-5,0,0,,136,10.4,20.4,1005,
2024-02-10,-3,-5,-2,1.1,,114,18.6,25.9,1005.8,
2024-02-11,-1,-2,0,0.8,,117,17.1,24.1,1005.4,
2024-02-12,1.1,0.2,2.1,3,89,127,14.1,20.4,1003.5,
2024-02-13,1.1,0,2,0,,70,6.5,14.8,1009.1,
2024-02-14,0.8,0,1,0,,342,14.7,16.7,1019.2,
2024-02-15,-0.4,-1,1,0,,49,6.9,11.1,1025.7,
2024-02-16,0.2,-1,2,0,,181,16.4,20.4,1026.7,
2024-02-17,1.8,0,4,4.4,,206,19.7,27.8,1020.3,
2024-02-18,-0.6,-5,3,0,,323,21.2,24.1,1027.1,
2024-02-19,-3.5,-9,1,0,,171,11.1,25.9,1027.4,
2024-02-20,-0.9,-3.1,0.6,6.1,79,154,19.6,27.8,1016.3,
2024-02-21,0.7,-0.6,1,0.5,89,244,10.1,18.5,1015.4,
2024-02-22,3.2,1.3,4.3,4.8,79,168,15.8,22.2,1009.1,
2024-02-23,4.7,3.4,6.1,2,61,152,21.8,27.8,1005.9,
2024-02-24,6.4,5,7,0.8,,159,19.5,31.5,1011.1,
2024-02-25,5.9,3.5,7.7,5.1,10,150,16.1,22.2,1015.5,
2024-02-26,4.7,4,4.8,2,,152,20.7,24.1,1014.7,
2024-02-27,5.9,3,11,0,,162,19.8,27.8,1018.8,
2024-02-28,5.3,1,10,0,,172,16.7,25.9,1019.7,
2024-02-29,5.6,4,7,1.3,,287,9,16.7,1021.6,
2024-03-01,3.4,1,8,0,,100,13.8,22.2,1023.7,
2024-03-02,4,0,9,0,,112,17.4,27.8,1022.2,
2024-03-03,1.5,-3,6,0,,100,13.4,25.9,1020.8,
2024-03-04,0.6,-0.8,2.1,2,,105,15.2,24.1,1019.2,
2024-03-05,1.6,0,5,0.2,,71,9.9,24.1,1020.5,
2024-03-06,0,-2,3,0,,56,11.3,24.1,1026.3,
2024-03-07,-1.7,-8,5,0,,320,6.3,16.7,1026.8,
2024-03-08,0.5,-5,7,0,,334,11.6,18.5,1021.5,
2024-03-09,-0.8,-2.5,1.2,0,,56,8.3,14.8,1020.6,
2024-03-10,-1,-5,3,0,,32,10.5,18.5,1022.1,
2024-03-11,-1.4,-7,4,0,,112,12.6,29.6,1026.5,
2024-03-12,0.5,-4,6,0,,126,17.3,29.6,1022.3,
2024-03-13,0.7,-0.4,3.5,1,10,132,13.8,24.1,1020.5,
2024-03-14,3.2,-2,9,0,,173,6.3,18.5,1019.3,
2024-03-15,2.7,-4,10,0,,208,7.4,22.2,1018.7,
2024-03-16,5.3,-2,12,0,,175,14.6,31.5,1016.2,
2024-03-17,4.6,1,6.6,2.5,,229,12,20.4,1011.7,
2024-03-18,1.8,-1,4,0,,352,12,16.7,1015,
2024-03-19,4.4,2.9,7.5,0.3,,35,15,25.9,1018.6,
2024-03-20,2.5,0.3,4.4,0,,40,8,16.7,1022.2,
2024-03-21,4.1,0,10,0,,316,5,18.5,1022.6,
2024-03-22,2.9,-2,8,0.2,,196,11.6,27.8,1014.6,
2024-03-23,7.7,5.8,11.3,1.8,,226,14.1,22.2,1002.8,
2024-03-24,3.8,2,8,0.5,,252,17.7,29.6,997.7,
2024-03-25,2,-3,8,0,,227,9,18.5,1004.3,
2024-03-26,2.8,-4,10.2,0,,270,6.2,22.2,1010.2,
2024-03-27,5.3,-2.1,12,0,,143,15.2,38.9,1011,
2024-03-28,6.8,2,12.6,0,,131,18.4,35.2,1003.7,
2024-03-29,9.5,6,12.6,0.3,,239,14.7,31.5,1001.5,
2024-03-30,9.8,1.3,19.5,0,,208,9.6,25.9,1009.6,
2024-03-31,14.9,4.9,24,0,,155,12.1,31.5,1008.7,
2024-04-01,16.9,10.8,23.5,0,,184,13.1,29.6,1003.1,
2024-04-02,16.9,10,26,0,,121,12.9,25.9,993.8,
2024-04-03,4.1,0.8,11,23.1,10,276,27.2,40.8,992.2,
2024-04-04,0.6,-1,2.4,2,10,291,13.4,24.1,1011.9,
2024-04-05,3.3,-2,8,2.5,,157,14,27.8,1015.3,
2024-04-06,9.1,3.8,13.9,4.1,,222,11.1,22.2,1012.4,
2024-04-07,8.4,6,11,0,,259,9.8,18.5,1020.1,
2024-04-08,13,6,20,0,,192,12.6,22.2,1018.3,
2024-04-09,16.4,8,25,0,,183,10.1,27.8,1014.9,
2024-04-10,16.5,6,25,0,,211,8.1,25.9,1016.7,
2024-04-11,11.3,7,16,0,,311,18.6,25.9,1026,
2024-04-12,10.6,4,15,0,,274,17.9,31.5,1023.6,
2024-04-13,10.7,9.1,13.7,0.8,,271,16.4,27.8,1017.4,
2024-04-14,10.8,7,15.6,3,,247,18.5,33.3,1009.9,
2024-04-15,6.9,3,11,0,,269,22.2,38.9,1004.6,
2024-04-16,4.7,-3,10,1.6,,219,11.6,31.5,999.6,
2024-04-17,5.2,0,10,0,,282,12.6,24.1,1000.8,
2024-04-18,4.9,-1,11,0.1,,5,13.4,25.9,1004.4,
2024-04-19,3.1,0,8.3,11.9,,305,23.1,31.5,1000.4,
2024-04-20,6.3,0,13.4,0.3,,186,16.8,38.9,1010.3,
2024-04-21,4.3,1,8,6.3,,27,17.3,35.2,1012.8,
2024-04-22,3.7,2.4,5,26.9,,277,23.1,37,1007.5,
2024-04-23,3.9,2,6,0,,243,14.6,25.9,1019.7,
2024-04-24,4.9,-1.4,8.1,17.8,,86,14.7,31.5,1010.3,
2024-04-25,7.9,6,11.8,4.1,,213,14.6,27.8,1004.1,
2024-04-26,7.9,3,13,0,,353,8.3,18.5,1011.6,
2024-04-27,9.1,0,16,0,,183,6.5,20.4,1019.7,
2024-04-28,11.8,6,18,0,,135,9,22.2,1025.4,
2024-04-29,13.2,3,21,0,,135,9.8,27.8,1030.5,
2024-04-30,14.6,6,22,0,,191,11,27.8,1031.6,
2024-05-01,14.5,3,23.8,0,,220,6.1,20.4,1024.5,
2024-05-02,14.4,6,21,0,,39,9.3,22.2,1018,
2024-05-03,12,7,17,0,,49,11,24.1,1016.8,
2024-05-04,10.8,0,18,0,,219,7.1,20.4,1016.1,
2024-05-05,15,6,22,0,,311,14.1,27.8,1008.9,
2024-05-06,11.8,6,19,2.3,,54,10.2,22.2,1005.6,
2024-05-07,6.4,0,10,1.2,,2,17.4,31.5,1009.9,
2024-05-08,5.4,-3,12,0,,333,14.3,27.8,1022.1,
2024-05-09,5,-4,11,0,,273,9.6,20.4,1025.5,
2024-05-10,10,7,13,2.7,,264,17.1,27.8,1016.9,
2024-05-11,8.1,2,13,0,,335,22.5,35.2,1017.2,
2024-05-12,8.1,0,15,0,,341,13.4,27.8,1020.9,
2024-05-13,9.3,-1,17,0,,110,8.1,20.4,1020.3,
2024-05-14,9.4,5,15,0,,158,9.8,20.4,1021.8,
2024-05-15,10.6,1,17,0,,128,6.8,20.4,1025,
2024-05-16,11.9,4,18,0,,236,6.3,16.7,1026,
2024-05-17,14.5,4,23,0,,321,12,20.4,1021.6,
2024-05-18,16.4,10,22,0,,53,7.5,16.7,1017.1,
2024-05-19,15.9,6,23,0,,59,8,20.4,1015.3,
2024-05-20,17,8,24,0,,185,9.6,20.4,1015,
